,battFast_adap,battFast_aggr,battSlow_throt
171,0.970623062659,0.970623062659,1.0
172,0.977312931502,0.977312931502,1.0
173,0.971342598164,0.971342598164,0.994036035537
174,0.976690738289,0.976690738289,0.999384175662
175,0.968160728778,0.968160728778,0.997665006415
176,0.974829987669,0.974829987669,1.0
177,0.981487037544,0.981487037544,1.0
178,0.975824654335,0.975824654335,0.994343788061
179,0.982475683492,0.982475683492,1.0
180,0.992083963585,0.992083963585,1.0
181,1.0,1.0,1.0
182,1.0,1.0,1.0
183,1.0,1.0,1.0
184,1.0,1.0,1.0
185,1.0,1.0,1.0
186,1.0,1.0,1.0
187,1.0,1.0,1.0
188,1.0,1.0,1.0
189,1.0,1.0,1.0
190,1.0,1.0,1.0
191,1.0,1.0,1.0
192,1.0,1.0,1.0
193,1.0,1.0,1.0
194,0.998314347701,0.998314347701,0.998316185333
195,0.996162097437,0.996162097437,0.996166281912
196,0.993999867329,0.993999867329,0.99400641009
197,1.0,1.0,1.0
198,1.0,1.0,1.0
199,0.999635562227,0.999635562227,0.999635959805
200,0.993132184888,0.993132184888,0.999368487859
201,0.987103069493,0.987103069493,0.993346190688
202,0.993772139243,0.993772139243,1.0
203,1.0,1.0,1.0
204,0.993199026903,0.993199026903,0.999537861716
205,0.999896502809,0.999896502809,1.0
206,1.0,1.0,1.0
207,0.995242344303,0.995242344303,0.995247891172
208,0.991179387442,0.991179387442,0.991189672477
209,0.998175100426,0.998175100426,0.998185385462
210,1.0,1.0,1.0
211,0.996479174891,0.996479174891,0.996483281882
212,0.992970265565,0.992970265565,0.992978466679
213,0.98837267159,0.98837267159,0.988386238434
214,0.98309624745,0.98309624745,0.983115973869
215,0.977278455324,0.977278455324,0.977304975092
216,0.972312478652,0.972312478652,0.972344798665
217,0.966431543639,0.966431543639,0.966470734368
218,0.960512916527,0.960512916527,0.960559023858
219,0.953949190654,0.953949190654,0.960259493031
220,0.960632536045,0.960632536045,0.966942838422
221,0.96728018092,0.96728018092,0.973590483297
222,0.974029677951,0.974029677951,0.980339980328
223,0.966074935054,0.966074935054,0.979063691014
224,0.957979177969,0.957979177969,0.977683526219
225,0.95005895462,0.95005895462,0.976434060363
226,0.942328724545,0.942328724545,0.975324702391
227,0.936998963995,0.936998963995,0.97000192837
228,0.943633160339,0.943633160339,0.976636124714
229,0.950314820339,0.950314820339,0.983317784714
230,0.945957492557,0.945957492557,0.978966170258
231,0.942031991326,0.942031991326,0.975045817475
232,0.948840851701,0.948840851701,0.98185467785
233,0.955515196201,0.955515196201,0.98852902235
234,0.962165177419,0.962165177419,0.995179003569
235,0.968849492232,0.968849492232,1.0
236,0.975503213044,0.975503213044,1.0
237,0.981849108263,0.981849108263,1.0
238,0.988475578576,0.988475578576,1.0
239,0.995163486638,0.995163486638,1.0
240,0.997300449826,0.997300449826,1.0
241,1.0,1.0,1.0
242,1.0,1.0,1.0
243,0.995081050161,0.995081050161,0.995087503209
244,0.994174122788,0.994174122788,0.994181765924
245,0.993234471608,0.993234471608,0.993243348042
246,0.992272787052,0.992272787052,0.992282925979
247,1.0,1.0,1.0
248,1.0,1.0,1.0
249,0.999205113747,0.999205113747,0.999206157497
250,1.0,1.0,1.0
251,1.0,1.0,1.0
252,0.999180276435,0.999180276435,0.99918135303
253,1.0,1.0,1.0
254,1.0,1.0,1.0
255,0.999681794781,0.999681794781,0.999682212791
256,0.99891779671,0.99891779671,0.99891921854
257,0.998483600001,0.998483600001,0.998485592445
258,1.0,1.0,1.0
259,1.0,1.0,1.0
260,0.993116124975,0.993116124975,0.9994963697
261,0.9997443306,0.9997443306,1.0
262,1.0,1.0,1.0
263,0.995199575124,0.995199575124,0.99520604923
264,0.991112419403,0.991112419403,0.99112440711
265,0.997708939263,0.997708939263,0.99772092697
266,1.0,1.0,1.0
267,0.996153663137,0.996153663137,0.99615885321
268,0.992443804721,0.992443804721,0.992454001992
269,0.987656435892,0.987656435892,0.987673096325
270,0.982151643516,0.982151643516,0.982175737619
271,0.976298905867,0.976298905867,0.976330905615
272,0.971612693232,0.971612693232,0.971651024632
273,0.965702226055,0.965702226055,0.965748545321
274,0.959527660115,0.959527660115,0.965696783047
275,0.952740767041,0.952740767041,0.965264613219
276,0.959366748494,0.959366748494,0.971890594672
277,0.965906777369,0.965906777369,0.978430623547
278,0.972508386119,0.972508386119,0.985032232297
279,0.967559174903,0.967559174903,0.980090160012
280,0.962452164661,0.962452164661,0.974990518264
281,0.969077214943,0.969077214943,0.981615568545
282,0.975408309943,0.975408309943,0.987946663545
283,0.969746200422,0.969746200422,0.982292725592
284,0.963249721744,0.963249721744,0.982052032366
285,0.957090578649,0.957090578649,0.982011094213
286,0.963727177805,0.963727177805,0.988647693369
287,0.969499050492,0.969499050492,0.994419566057
288,0.961961138864,0.961961138864,0.993466940665
289,0.954397663919,0.954397663919,0.992496541005
290,0.946701461365,0.946701461365,0.991430667311
291,0.938988889307,0.938988889307,0.990353545046
292,0.931826891114,0.931826891114,0.989670334264
293,0.938793112739,0.938793112739,0.996636555889
294,0.931425604753,0.931425604753,0.995809087604
295,0.936357955472,0.936357955472,1.0
296,0.925997509989,0.925997509989,0.996900524458
